Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1629742080000,2021-08-23 18:08:00,BTCUSD,49458.32,49476.79,49454.92,49476.79,0.64809668
1629742140000,2021-08-23 18:09:00,BTCUSD,49476.79,49499.21,49432.71,49465.53,1.77499557
1629742200000,2021-08-23 18:10:00,BTCUSD,49465.53,49480.58,49458.25,49462.22,0.06682103
1629742260000,2021-08-23 18:11:00,BTCUSD,49462.22,49462.22,49428.58,49431.21,0.3098028537
1629742320000,2021-08-23 18:12:00,BTCUSD,49431.21,49447.46,49409.02,49447.37,0.3216326306
1629742380000,2021-08-23 18:13:00,BTCUSD,49447.37,49447.37,49400.0,49400.0,1.63988923
1629742440000,2021-08-23 18:14:00,BTCUSD,49400.0,49447.46,49400.0,49447.46,0.09718982
1629742500000,2021-08-23 18:15:00,BTCUSD,49447.46,49447.46,49400.0,49420.5,1.8617646301
1629742560000,2021-08-23 18:16:00,BTCUSD,49420.5,49442.08,49408.45,49442.08,0.1645552642
1629742620000,2021-08-23 18:17:00,BTCUSD,49442.08,49482.34,49442.08,49474.92,0.15141094
1629742680000,2021-08-23 18:18:00,BTCUSD,49474.92,49478.36,49457.27,49464.62,0.01182232
1629742740000,2021-08-23 18:19:00,BTCUSD,49464.62,49506.88,49464.62,49476.3,0.06666354
1629742800000,2021-08-23 18:20:00,BTCUSD,49476.3,49476.47,49455.07,49455.07,0.00246543
1629742860000,2021-08-23 18:21:00,BTCUSD,49455.07,49455.07,49439.99,49440.0,1.0753233613
1629742920000,2021-08-23 18:22:00,BTCUSD,49440.0,49504.0,49440.0,49487.42,2.0650889515
1629742980000,2021-08-23 18:23:00,BTCUSD,49487.42,49508.18,49487.3,49505.02,0.38908874
1629743040000,2021-08-23 18:24:00,BTCUSD,49505.02,49546.11,49505.02,49546.11,2.31647999
1629743100000,2021-08-23 18:25:00,BTCUSD,49546.11,49551.8,49530.9,49533.09,0.03360994
1629743160000,2021-08-23 18:26:00,BTCUSD,49533.09,49553.9,49528.42,49534.04,1.4366552623
1629743220000,2021-08-23 18:27:00,BTCUSD,49534.04,49569.71,49532.59,49569.71,0.01305069
1629743280000,2021-08-23 18:28:00,BTCUSD,49569.71,49608.21,49568.88,49608.21,0.28846124
1629743340000,2021-08-23 18:29:00,BTCUSD,49608.21,49608.21,49587.81,49587.81,0.02090223
1629743400000,2021-08-23 18:30:00,BTCUSD,49587.81,49600.84,49587.81,49597.81,0.1131417395
1629743460000,2021-08-23 18:31:00,BTCUSD,49597.81,49597.81,49575.52,49575.52,0.0610462883
1629743520000,2021-08-23 18:32:00,BTCUSD,49575.52,49589.12,49556.6,49571.77,1.11362734
